Project Title,Deep Learning,NLP,Medical/Health,Finance/Fraud,Vision,Real-Time,Unsupervised,Time-Series,Low Data,Noisy Data,Justification,Combined_Text,Semantic_Cluster,Weighted_Score,MP_num,Semantic_num,Ensemble_score,Final_num,Final_Output
28. HepatoML: Fatty liver risk prediction,0,0,1,0,0,0,0,0,1,0,"Medical ML project predicting fatty liver risk from patient data (e.g., blood tests). It’s supervised learning in healthcare, without NLP or vision, using clinical data.","28. HepatoML: Fatty liver risk prediction Medical ML project predicting fatty liver risk from patient data (e.g., blood tests). It’s supervised learning in healthcare, without NLP or vision, using clinical data.",1,5.0,1,2,1.4,1,Average
29. NLP-augmented ML model for fake job postings,1,1,0,0,0,0,0,0,1,0,Uses NLP plus ML to detect fake job listings. It’s a text classification task (likely using embeddings or deep NLP). It’s not related to health/finance; data would be curated.,29. NLP-augmented ML model for fake job postings Uses NLP plus ML to detect fake job listings. It’s a text classification task (likely using embeddings or deep NLP). It’s not related to health/finance; data would be curated.,2,6.5,1,2,1.4,1,Average
30. Toxic comment detection and control system,1,1,0,0,0,1,0,0,0,1,Detects abusive content (toxic comments) via NLP classification (often deep learning). It operates on user-generated text (noisy) and can run in real-time moderation. Not in vision or health domains.,30. Toxic comment detection and control system Detects abusive content (toxic comments) via NLP classification (often deep learning). It operates on user-generated text (noisy) and can run in real-time moderation. Not in vision or health domains.,2,7.5,1,2,1.4,1,Average
31. Style Sphere AI,1,0,0,0,1,0,0,0,0,0,Unclear project name (likely fashion/style analytics). Possibly uses computer vision (deep CNN on clothing images). Domain is not medical/finance; NLP is unlikely unless analyzing style descriptions.,31. Style Sphere AI Unclear project name (likely fashion/style analytics). Possibly uses computer vision (deep CNN on clothing images). Domain is not medical/finance; NLP is unlikely unless analyzing style descriptions.,1,5.0,1,2,1.4,1,Average
32. Student performance prediction,0,0,0,0,0,0,0,0,0,0,"A standard ML regression/classification on student grades or features. No NLP, vision, or real-time needs. Uses educational data (possibly large), in a neutral domain.","32. Student performance prediction A standard ML regression/classification on student grades or features. No NLP, vision, or real-time needs. Uses educational data (possibly large), in a neutral domain.",4,0.0,0,0,0.0,0,Easy
33. Squint eye disease detection,1,0,1,0,1,0,0,0,1,0,Likely uses computer vision (images of eyes) and deep learning to detect squint. It’s a medical imaging task (health domain). Not NLP or finance.,33. Squint eye disease detection Likely uses computer vision (images of eyes) and deep learning to detect squint. It’s a medical imaging task (health domain). Not NLP or finance.,1,10.0,2,2,2.0,2,Difficult
34. Smartphone addiction detection,0,0,1,0,0,0,1,1,1,0,Analyzes phone usage patterns (time-series/behavioral data) to detect addiction (health/psychology). Could use unsupervised clustering or supervised ML on time data. Not NLP or vision.,34. Smartphone addiction detection Analyzes phone usage patterns (time-series/behavioral data) to detect addiction (health/psychology). Could use unsupervised clustering or supervised ML on time data. Not NLP or vision.,0,8.5,2,1,1.6,2,Difficult
35. Proactive warning system using CNN & ML,1,0,0,0,1,1,0,0,1,0,"Likely a vision-based alert system (e.g., hazard detection) using CNN (deep learning) on video/images and ML. Operates in real time to warn. Domain is likely safety/engineering, not health/finance.","35. Proactive warning system using CNN & ML Likely a vision-based alert system (e.g., hazard detection) using CNN (deep learning) on video/images and ML. Operates in real time to warn. Domain is likely safety/engineering, not health/finance.",1,9.0,2,2,2.0,2,Difficult
36. Multi disease prediction,1,0,1,0,0,0,0,0,1,0,"Same as project 3 (multi-disease, medical). Uses ML/DL on health data. (See Project 3.)","36. Multi disease prediction Same as project 3 (multi-disease, medical). Uses ML/DL on health data. (See Project 3.)",1,8.0,2,2,2.0,2,Difficult
37. MicroHabit Deviation system with AI companion,0,1,1,0,0,1,0,0,0,1,Likely a behavioral health app. The “AI companion” suggests NLP (chatbot) and ML on user behavior. Domain is health/wellness; may operate in real time on user text.,37. MicroHabit Deviation system with AI companion Likely a behavioral health app. The “AI companion” suggests NLP (chatbot) and ML on user behavior. Domain is health/wellness; may operate in real time on user text.,2,7.5,1,2,1.4,1,Average
38. Indian agriculture trending crop analysis,0,0,0,0,0,0,1,1,0,0,Uses agricultural data to identify trending crops. Likely unsupervised/time-series analysis on crop statistics. Domain is agri-economics (no NLP/vision).,38. Indian agriculture trending crop analysis Uses agricultural data to identify trending crops. Likely unsupervised/time-series analysis on crop statistics. Domain is agri-economics (no NLP/vision).,0,3.5,0,1,0.4,0,Easy
39. Identification of Ayurvedic medicinal plants using ML,1,0,1,0,1,0,0,0,1,0,Classifies plant images with ML (computer vision) to identify medicinal plants. Deep CNNs are typical for such image tasks (health/biology domain). Not NLP or finance.,39. Identification of Ayurvedic medicinal plants using ML Classifies plant images with ML (computer vision) to identify medicinal plants. Deep CNNs are typical for such image tasks (health/biology domain). Not NLP or finance.,1,10.0,2,2,2.0,2,Difficult
40. Micro gesture detection during online classes,1,0,0,0,1,1,0,0,1,0,"Uses computer vision and CNNs to recognize subtle student gestures (e.g. hand movements) from video in real time. It’s a vision-based HCI system (education domain), not involving text or finance.","40. Micro gesture detection during online classes Uses computer vision and CNNs to recognize subtle student gestures (e.g. hand movements) from video in real time. It’s a vision-based HCI system (education domain), not involving text or finance.",3,9.0,2,2,2.0,2,Difficult
